NOMBRE,REGION,PROVINCIA,CODIGO,INSTITUCION,DISTRITO,DIRECCIÓN,latitude,longitude
INSTITUTO NACIONAL DE CIENCIAS NEUROLOGICAS,LIMA,LIMA,6209,MINSA,LIMA,JR. ANCASH 1271 - LIMA LIMA LIMA,-12.0461602,-77.01590019999998
INCOR,LIMA,LIMA,18011,ESSALUD,JESUS MARIA,JIRON CORONEL FÉLIX ZEGARRA N.S 397-417-455-465-491-495 LIMA LIMA,-12.077225199999999,-77.03998879999999
CLINICA PADRE LUIS TEZZA,LIMA,LIMA,9989,PRIVADO,SANTIAGO DE SURCO,JR. EL POLO 570 MONTERRICO-SANTIAGO DE SURCO LIMA LIMA,-12.103294199999999,-76.9718807
CLINICA SAN JUDAS TADEO,LIMA,LIMA,11401,PRIVADO,SAN MIGUEL,CALLE MANUEL RAYGADA N 170 (ANEXO EN CALLE LAUREANO MARTINEZ N 140) - URB EL CAMPILLO LIMA LIMA,-12.0798541,-77.07993359999998
CLINICA EL GOLF,LIMA,LIMA,8398,PRIVADO,SAN ISIDRO,AVENIDA AV AURELIO MIROQUESADA 1030 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.098856300000001,-77.05144310000001
CLINICA LIMATAMBO CAJAMARCA S.A.C.,CAJAMARCA,CAJAMARCA,9591,PRIVADO,CAJAMARCA,JR PUNO 265 CAJAMARCA CAJAMARCA,-7.151365699999999,-78.5234273
CLINICA ANGLOAMERICANA,LIMA,LIMA,9123,PRIVADO,SAN ISIDRO,CALLE ALFREDO SALAZAR N 350 LIMA LIMA,-12.109555,-77.039261
CLINICA SAN FELIPE S.A.,LIMA,LIMA,9116,PRIVADO,JESUS MARIA,AV. GREGORIO ESCOBEDO N° 650 LIMA LIMA,-12.085969,-77.05409399999998
CLINICA MONTERRICO,LIMA,LIMA,11113,PRIVADO,SANTIAGO DE SURCO,AV. MANUEL OLGUIN 1045 - 1047 LIMA LIMA,-12.1030398,-76.97392559999999
CLINICA LIMATAMBO,LIMA,LIMA,9090,PRIVADO,SAN JUAN DE LURIGANCHO,AV. PROCERES DE LA INDEPENDENCIA 2701 - Y GANIMIDES 106 - 110 LIMA LIMA,-11.986855,-77.0077168
CLÍNICA METROPOLITANA,LAMBAYEQUE,CHICLAYO,8151,PRIVADO,CHICLAYO,CALLE MANUEL MARIA IZAGA 154 CHICLAYO LAMBAYEQUE,-6.7731515999999985,-79.84328990000002
CLINICA SAN PABLO AREQUIPA,AREQUIPA,AREQUIPA,27214,PRIVADO,,CLINICA SAN PABLO AREQUIPA AREQUIPA AREQUIPA,-16.3866714,-71.556989
ANTONIO SKRABONJA ANTONCICH,ICA,PISCO,14147,ESSALUD,PISCO,AVENIDA AV. LAS AMERICAS SN SN AV. LAS AMERICAS SN PISCO PISCO ICA  PISCO ICA,-13.7169333,-76.20753789999998
ALBERTO LEONARDO BARTON THOMPSON,CALLAO,CALLAO,18319,PRIVADO,CALLAO,AVENIDA ARGENTINA  3525 CALLAO CALLAO CALLAO  CALLAO CALLAO,-12.049144400000001,-77.1080108
GUILLERMO KAELIN DE LA FUENTE,LIMA,LIMA,18580,PRIVADO,VILLA MARIA DEL TRIUNFO,AVENIDA PP.JJ. NUEVA ESPERANZA MZ 1B SUBLOTE 1 PABELLON 1 CRUCE AV. 26 DE NOVIEMBRE C AV DEFENSORES DE LIMA PP.JJ. NUEVA ESPERANZA MZ 1B SUBLOTE 1 PABELLON 1 CRUCE AV. 26 DE NOVIEMBRE C AV DEFENSORES DE LIMA VILLA MARIA DEL TRIUNFO LIMA LIMA  LIMA LIMA,-12.170633,-76.92999689999998
CLINICA PETRAS,LIMA,LIMA,18581,PRIVADO,SAN ISIDRO,CALLE CALLE 6 N° 221 - URB. CORPAC DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.0912383,-77.0093353
CLÍNICA CRISTO REDENTOR,LA LIBERTAD,TRUJILLO,27358,PRIVADO,,CLÍNICA CRISTO REDENTOR TRUJILLO LA LIBERTAD,-8.104231200000001,-79.00899369999998
CLINICA MONTELUZ,LIMA,LIMA,16353,PRIVADO,PUENTE PIEDRA,AVENIDA AV. BUENOS AIRES N 2307 DISTRITO PUENTE PIEDRA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-11.846946,-77.0977252
CLINICA SAN GABRIEL S.A.C.,LIMA,LIMA,14501,PRIVADO,SAN MIGUEL,AVENIDA AV. LA MARINA 2945-2949-2955-2965 MARANGA- SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.0766003,-77.0957921
ADMINISTRADORA CLINICA TRESA,PIURA,TALARA,11396,PRIVADO,PARIÑAS,AVENIDA AVENIDA A- 108 B DISTRITO PARIAS PROVINCIA TALARA DEPARTAMENTO PIURA  TALARA PIURA,-4.578555799999999,-81.27567069999998
CLINICA SANTA ANA,CAJAMARCA,CAJAMARCA,19315,PRIVADO,CAJAMARCA,JR. AYACUCHO N° 936 - BARRIO LA COLMENA CAJAMARCA CAJAMARCA,-7.157542599999999,-78.5109591
SMQ QUIRUMEDIC SAC,LA LIBERTAD,TRUJILLO,21508,PRIVADO,TRUJILLO,CALLE WILFREDO TORRES ORTEGA N° 1034 - URBANIZACIÓN MIRAFLORES - TRUJILLO TRUJILLO LA LIBERTAD,-8.098211000000001,-79.0209725
CLINICA STELLA MARIS,LIMA,LIMA,10743,PRIVADO,PUEBLO LIBRE,AV. PASO DE LOS ANDES N 923 LIMA LIMA,-12.071091699999998,-77.05917640000001
CLINICA SAN BARTOLOME,LIMA,LIMA,17385,PRIVADO,LOS OLIVOS,AVENIDA AV. CARLOS ALBERTO IZAGUIRRE N° 1142 URB. COVIDA III ETAPA MZ A LT 16 DISTRITO LOS OLIVOS PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-11.991493,-77.075591
CLINICA SAN JUAN DE DIOS,LIMA,LIMA,8786,PRIVADO,SAN LUIS,AVENIDA NICOLÁS ARRIOLA 3250 AV. NICOLÁS ARRIOLA 3250 SAN LUIS LIMA LIMA  LIMA LIMA,-12.065508,-76.98961109999998
HOSPITAL III DANIEL ALCIDES CARRIÓN,TACNA,TACNA,10185,ESSALUD,CALANA,CARRETERA CALANA KM 6.5 - CALANA TACNA TACNA,-17.9825833,-70.2044585
HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS,LIMA,LIMA,8720,ESSALUD,JESUS MARIA,JIRON EDGARDO REBAGLIATI N490 LIMA LIMA,-12.0780012,-77.0402132
INSTITUTO NACIONAL DE SALUD NIÑO SAN BORJA,LIMA,LIMA,16918,MINSA,SAN BORJA,AVENIDA AV LA ROSA TORO 1250 URB JACARANDA II DISTRITO SAN BORJA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.085379099999999,-76.9919372
CLÍNICA INTERNACIONAL,LIMA,LIMA,9682,PRIVADO,SAN BORJA,AVENIDA GUARDIA CIVIL N 385 AV. GUARDIA CIVIL N 385 SAN BORJA LIMA LIMA  LIMA LIMA,-12.091744199999999,-77.0082406
AUNA CLÍNICA DELGADO,LIMA,LIMA,19049,PRIVADO,MIRAFLORES,AVENIDA AV ANGAMOS OESTE N°450-490 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.1132145,-77.03295809999999
CLÍNICA MÉDICA CAYETANO HEREDIA,LIMA,LIMA,10603,PRIVADO,SAN MARTIN DE PORRES,AVENIDA HONORIO DELGADO 370 INGENIERIA SMP AV. HONORIO DELGADO 370 INGENIERIA SMP SAN MARTIN DE PORRES LIMA LIMA  LIMA LIMA,-12.023537699999999,-77.05609220000001
INSTITUTO DEL CEREBRO Y LA COLUMNA VERTEBRAL,LIMA,LIMA,14361,PRIVADO,MIRAFLORES,AV. ALFREDO BENAVIDES 2965 LIMA LIMA,-12.1282032,-77.0043881
CLINICA LOS FRESNOS,CAJAMARCA,CAJAMARCA,9234,PRIVADO,CAJAMARCA,JR LOS NOGALES 179 - URBANIZACION EL INGENIO CAJAMARCA CAJAMARCA,-7.1481536,-78.51494319999998
CLINICA VIRGEN DEL PILAR SCRL,PIURA,SULLANA,10777,PRIVADO,SULLANA,CALLE BOLIVAR 285 SULLANA PIURA,-4.8912254000000015,-80.6887035
CLÍNICA SANTO TORIBIO,LIMA,LIMA,24727,PRIVADO,,CLÍNICA SANTO TORIBIO LIMA LIMA,-12.0475819,-77.0397481
HOSPITAL REGIONAL DOCENTE LAS MERCEDES,LAMBAYEQUE,CHICLAYO,4317,GOB REGIONAL,CHICLAYO,AV. LUIS GONZALES N 635 CHICLAYO LAMBAYEQUE,-6.7725342999999985,-79.8424766
CLÍNICA ESPECIALIZADA EMANUEL,LORETO,MAYNAS,24041,PRIVADO,,CLÍNICA ESPECIALIZADA EMANUEL MAYNAS LORETO,-3.7742213999999987,-73.28941400000001
MACSALUD,CUSCO,CUSCO,12161,PRIVADO,WANCHAQ,AV. DE LA CULTURA 1410 CUSCO CUSCO,-13.524784,-71.95533999999998
ESSALUD - CLINICA GERIATRICA SAN ISIDRO LABRADOR,LIMA,LIMA,10434,ESSALUD,SANTA ANITA,AVENIDA AV. CARRETERA CENTRAL 1345 KM. 3.5 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.047566400000001,-76.94747029999999
"INSTITUTO MEDICO ESPECIALIZADO EN DIABETES SOY DIABETICO EIRL (INSTITUTO MEDICO ESPECIALIZADO EN DIABETES ""SOY DIABETICO"")",PIURA,PIURA,13727,PRIVADO,PIURA,AVENIDA FORTUNATO CHIRICHIGNO MANZANA L LOTE 5 URB. EL CHIPE PIURA PIURA,-5.1832262,-80.62616969999998
HOSPITAL I - LA ESPERANZA,LA LIBERTAD,TRUJILLO,9040,ESSALUD,LA ESPERANZA,JIRÓN LIMA CUADRA 4 SECTOR SANTA VERÓNICA TRUJILLO LA LIBERTAD,-8.0750561,-79.05397420000001
CLINICA BELLAVISTA,CALLAO,CALLAO,9250,PRIVADO,BELLAVISTA,AV. LAS GAVIOTAS 207 URB. SAN JOSE CALLAO CALLAO,-12.0576329,-77.0965671
HOSPITAL  MOYOBAMBA,SAN MARTIN,MOYOBAMBA,6733,GOB REGIONAL,MOYOBAMBA,CARRETERA CARRETERA BAOS TERMALES KM 1.5 CARRETERA BAOS TERMALES KM 1.5 MOYOBAMBA MOYOBAMBA SAN MARTIN  MOYOBAMBA SAN MARTIN,-6.041571599999999,-76.97079190000001
HOSPITAL DE APOYO SANTA ROSA,LIMA,LIMA,6211,MINSA,PUEBLO LIBRE,AV. BOLIVAR SN CUADRA 8 LIMA LIMA,-12.0915579,-77.05607850000001
CLÍNICA MADRE DE CRISTO,LA LIBERTAD,TRUJILLO,21412,PRIVADO,LA ESPERANZA,AV JOSE GABRIEL CONDORCANQUI 1397 TRUJILLO LA LIBERTAD,-8.0796888,-79.0460971
CHENET CLINICA ESPECIALIZADA,JUNIN,HUANCAYO,27694,PRIVADO,,CHENET CLINICA ESPECIALIZADA HUANCAYO JUNIN,-12.060232899999999,-75.215195
CLINICA GAXAY E.I.R.L.,ICA,CHINCHA,17493,PRIVADO,CHINCHA ALTA,AVENIDA AMERICA MZ B LT 03 DISTRITO CHINCHA ALTA PROVINCIA CHINCHA DEPARTAMENTO ICA  CHINCHA ICA,-13.432723699999999,-76.13371149999998
CLINICA BILBAO,JUNIN,HUANCAYO,25971,PRIVADO,,CLINICA BILBAO HUANCAYO JUNIN,-12.0703605,-75.2150134
CLINICA MEDICO QUIRURGICO HUANCAYO,JUNIN,HUANCAYO,25383,PRIVADO,,CLINICA MEDICO QUIRURGICO HUANCAYO HUANCAYO JUNIN,-12.0731459,-75.22083570000001
HOSPITAL PROVINCIAL DE JULCAN,LA LIBERTAD,JULCAN,5306,GOB REGIONAL,JULCAN,JIRÓN JR CAPULY SN JULCAN NÚMERO SN DISTRITO JULCAN PROVINCIA JULCAN DEPARTAMENTO LA LIBERTAD  JULCAN LA LIBERTAD,-8.0428018,-78.48720550000002
HOGAR CLINICA SAN JUAN DE DIOS-CUSCO,CUSCO,CUSCO,16541,PRIVADO,CUSCO,AVENIDA AVENIDA MANZANARES N°264 URBANIZACION MANUEL PRADO AVENIDA MANZANARES N°264 URBANIZACION MANUEL PRADO CUSCO CUSCO CUSCO  CUSCO CUSCO,-13.523113500000001,-71.9533239
CLINICA LA LUZ,TACNA,TACNA,27462,PRIVADO,,CLINICA LA LUZ TACNA TACNA,-18.0226885,-70.2590629
HOSPITAL  DIOSPI SUYANA,APURIMAC,ABANCAY,8108,PRIVADO,CURAHUASI,SECTOR CCOCHARAY SN ABANCAY APURIMAC,-13.6301155,-72.8788627
SANTA MARIA DE CUTERVO,CAJAMARCA,CUTERVO,4981,GOB REGIONAL,CUTERVO,JR. EL INCA SN-CUTERVO CUTERVO CAJAMARCA,-6.3886651,-78.817185
INO DR. FRANCISCO CONTRERAS C.,LIMA,LIMA,6217,MINSA,LIMA,AVENIDA AV. TINGO MARÍA N 398 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.0514395,-77.0551828
CLINICA RENACER,LIMA,LIMA,19671,PRIVADO,MIRAFLORES,CALLE CALLE CORONEL INCLAN N° 986 DISTRITO MIRAFLORES PROVINCIA LIMA DEPARTAMENTO LIMA  LIMA LIMA,-12.109812300000002,-77.0313475
AUNA CLINICA MIRAFLORES,PIURA,PIURA,13494,PRIVADO,CASTILLA,CALLE LAS DALIAS A-12-URB.MIRAFLORES-CASTILLA-PIURA PIURA PIURA,-5.1943519999999985,-80.6225788
CLINICA DEL PACIFICO,LAMBAYEQUE,CHICLAYO,8750,PRIVADO,CHICLAYO,AV. JOSÉ LEONARDO ORTIZ N 420 CHICLAYO LAMBAYEQUE,-6.7747522999999985,-79.84581379999999
OXIGEN MEDICAL NETWORK,CUSCO,CUSCO,24173,PRIVADO,SANTIAGO,CALLE BELLAVISTA NÚMERO 1 MANZANA C LOTE 11 URBANIZACIÓN RESIDENCIAL HUANCARO DISTRITO SANTIAGO PROVINCIA CUSCO DEPARTAMENTO CUSCO  CUSCO CUSCO,-13.534035000000001,-71.974099
CLINICA AREQUIPA S.A.,AREQUIPA,AREQUIPA,13722,PRIVADO,AREQUIPA,ESQUINA PUENTE GRAU CON AVENIDA BOLOGNESI SIN NUMERO AREQUIPA AREQUIPA,-16.352808300000003,-71.54228499999998
SERVICIOS MEDICOS CLINICA SANTA ANITA SRL,LORETO,MAYNAS,12170,PRIVADO,IQUITOS,JIRÓN JIRON BOLOGNESI N° 1223 DISTRITO IQUITOS PROVINCIA MAYNAS DEPARTAMENTO LORETO  MAYNAS LORETO,-3.7568762,-73.2536813
CLINICA OLGUIN E.I.R.L (CLINICA OLGUIN),PIURA,SULLANA,16148,PRIVADO,SULLANA,CALLE SUCRE N 1300 SULLANA PIURA,-4.8972926,-80.69503440000003
CLINICA J. PRADO SANTA MARIA E.I.R.L.,AREQUIPA,AREQUIPA,19481,PRIVADO,MARIANO MELGAR,AV. MARISCAL CASTILLA 723 AREQUIPA AREQUIPA,-16.4034996,-71.51522220000001
LAS CONDES SAC,ICA,ICA,13386,PRIVADO,ICA,AVENIDA CONDE DE NIEVA N° 1073 URB LUREN DISTRITO ICA PROVINCIA ICA DEPARTAMENTO ICA  ICA ICA,-14.079834400000001,-75.72326559999998
CLINICA UNIVERSITARIA,LIMA,LIMA,8519,PRIVADO,COMAS,AV. UNIVERSITARIA N° 6062 Y JR. PAGADOR N 137 URB. SANTA LUZMILA LIMA LIMA,-11.951404,-77.059539
HOSPITAL II CAÑETE,LIMA,CAÑETE,10536,ESSALUD,SAN VICENTE DE CAÑETE,AV. MARISCAL BENAVIDES N 495 CAETE LIMA,-13.0751576,-76.38014270000001
HOSP. IV AUGUSTO HERNANDEZ MENDOZA,ICA,ICA,16374,ESSALUD,ICA,AVENIDA AV. JOSÉ MATIAS MANZANILLA SN NÚMERO SN DISTRITO ICA PROVINCIA ICA DEPARTAMENTO ICA  ICA ICA,-14.0649395,-75.7351139
CLINICA ALMONTE SAC,AREQUIPA,AREQUIPA,11995,PRIVADO,AREQUIPA,CALLE CALLE MANUEL UGARTECHE 311 URB. SELVA ALEGRE DISTRITO AREQUIPA PROVINCIA AREQUIPA DEPARTAMENTO AREQUIPA  AREQUIPA AREQUIPA,-16.3897115,-71.5291119
CLINICA MUNDO SALUD SAC,LIMA,LIMA,9641,PRIVADO,LOS OLIVOS,AV. CARLOS IZAGUIRRE NO 1234 LIMA LIMA,-11.991413900000001,-77.076977
HOSPITAL HIGOS URCO,AMAZONAS,CHACHAPOYAS,9066,ESSALUD,CHACHAPOYAS,JR. ORTIZ ARRIETA N° 612 CHACHAPOYAS AMAZONAS,-6.235473499999999,-77.8733506
CLÍNICA MEDICA SALAZAR,JUNIN,HUANCAYO,24425,PRIVADO,,CLÍNICA MEDICA SALAZAR HUANCAYO JUNIN,-12.059968300000001,-75.20490720000001
HOSPITAL I OXAPAMPA,PASCO,OXAPAMPA,9748,ESSALUD,OXAPAMPA,PROLONGACION ENRIQUE BOTTGER SN DISTRITO PROVINCIA DE OXAPAMPA Y REGIÓN PASCO OXAPAMPA PASCO,-10.5764218,-75.4031286
